japanese,copies,id,en,score,ja_ex,ko,zh,action
爽やか,4,253,refreshing,25,朝は爽やかです。,상쾌함,清爽,KEEP
爽やか,4,1838,refreshing,25,朝は爽やかです。,상쾌함,清爽,DISCARD
爽やか,4,2084,refreshing,25,朝は爽やかです。,상쾌함,清爽,DISCARD
爽やか,4,3802,fresh *DIFF*,25,今朝の空気はとても爽やかだ。,신선한,新鲜,DISCARD
本気,4,287,Serious,25,私は本気です。,진심,认真,KEEP
本気,4,1297,Serious,25,私は本気です。,진심,认真的,DISCARD
本気,4,1797,Serious,25,私は本気です。,진심,认真,DISCARD
本気,4,5412,seriousness *DIFF*,25,彼が本気でやると言ったから、私も信じてみようと思う。,진지함,严肃性,DISCARD
罵る,4,431,scolds,25,先生は生徒を罵る。,꾸짖는다,责骂,KEEP
罵る,4,1812,scolds,25,先生は生徒を罵る。,욕한다,骂,DISCARD
罵る,4,2196,scolds,25,先生は生徒を罵る。,욕한다,骂,DISCARD
罵る,4,5019,to speak ill of *DIFF*,25,彼は人前で他人を罵るようなことはしない。,험담하다,说坏话,DISCARD
意図,4,666,intention,25,彼女は私を助ける意図がありました。,의도,意图,KEEP
意図,4,1616,intention,25,彼の意図は分かりません。,의도,意图,DISCARD
意図,4,2002,intention,25,先生は質問の意図を説明しました。,의도,意图,DISCARD
意図,4,2768,intention,25,彼の発言の真の意図を理解するのは難しかった。,의도,意图,DISCARD
心細い,4,913,lonely,25,一人で歩くのは心細いです。,불안합니다,没底,KEEP
心細い,4,1550,uneasy *DIFF*,25,一人で歩くのは心細いです。,불안합니다,感到心里不安,DISCARD
心細い,4,1856,lonely,25,一人で歩くのは心細いです。,불안합니다,没底,DISCARD
心細い,4,3641,helpless *DIFF*,25,一人で夜道を歩いていると、急に心細い気持ちになった。,무력한,无助的,DISCARD
切ない,4,919,sad,25,一人でいると、少し切ない。,안타까워요,难过,KEEP
切ない,4,1505,sad,25,一人でいると、少し切ない。,애틋해요,难过,DISCARD
切ない,4,1685,sad,25,一人でいると、少し切ない。,애달파,难过,DISCARD
切ない,4,4270,painful *DIFF*,25,遠く離れた故郷を思うと、心が切なくなる。,고통스러운,痛苦的,DISCARD
感心,4,935,impressed,25,彼女の努力に感心しました。,감탄,钦佩,KEEP
感心,4,936,impressed,25,彼の努力に感心しました。,감탄,钦佩,DISCARD
感心,4,1023,impressed,25,私は彼の努力に感心しました。,감동,钦佩,DISCARD
感心,4,1763,impressed,25,彼女の努力に感心しました。,감탄,钦佩,DISCARD
中毒,4,1129,addicted,25,私はゲームに中毒です。,중독,瘾,KEEP
中毒,4,1794,addicted,25,私はゲーム中毒です。,중독,瘾,DISCARD
中毒,4,2184,addicted,25,私はゲーム中毒です。,중독,瘾,DISCARD
中毒,4,4555,poisoning *DIFF*,25,彼は古い食べ物を食べたため、深刻な食物中毒を起こした。,중독,中毒,DISCARD
浅ましい,4,1157,despicable,25,お金のために嘘をつくのは浅ましいです。,천박합니다,卑鄙的,KEEP
浅ましい,4,1855,despicable,25,お金に執着する姿は浅ましい。,추하다,卑鄙,DISCARD
浅ましい,4,2038,despicable,25,彼はお金を盗むなんて、浅ましい人だ。,비열한,卑鄙,DISCARD
浅ましい,4,2599,wretched *DIFF*,25,他人の不幸を喜ぶとは、なんて浅ましい人間だ。,비참한,悲惨的,DISCARD
望ましい,4,1181,desirable,25,静かな場所が望ましいです。,바람직합니다,理想,KEEP
望ましい,4,1578,desirable,25,静かな場所が望ましいです。,바람직합니다,理想,DISCARD
望ましい,4,1863,desirable,25,静かな場所が望ましいです。,바람직합니다,理想,DISCARD
望ましい,4,5015,desirable,25,健康的な生活習慣を身につけることは、誰にとっても望ましい。,바람직하다,可取的,DISCARD
挑む,4,1215,Challenge,25,彼は難しい問題に挑む。,도전한다,挑战,KEEP
挑む,4,1775,Challenge,25,新しい仕事に挑む。,도전한다,挑战,DISCARD
挑む,4,2032,Challenge,25,彼は難しい問題に挑む。,도전한다,挑战,DISCARD
挑む,4,2772,to challenge *DIFF*,25,彼は常に新しいことに挑むことを恐れない。,도전하다,挑战,DISCARD
苦情,4,1271,complaint,25,サービスに苦情があります。,불만,投诉,KEEP
苦情,4,1757,complained *DIFF*,25,うるさいので、苦情を言いました。,불만을,投诉,DISCARD
苦情,4,2006,complaint,25,ホテルに苦情を言いました。,불만,投诉,DISCARD
苦情,4,2281,complaint,25,ホテルに苦情を言いました。,불만,投诉,DISCARD
愚痴,4,1273,complaining,25,彼はいつも愚痴を言っています。,불평,发牢骚,KEEP
愚痴,4,1788,complaining,25,彼はいつも愚痴を言っています。,불평,发牢骚,DISCARD
愚痴,4,1986,complains *DIFF*,25,彼はいつも愚痴を言う。,불평,抱怨,DISCARD
愚痴,4,3456,idle complaint *DIFF*,25,彼はいつも仕事の愚痴ばかり言っている。,쓸데없는 불평,无谓的抱怨,DISCARD
拒否,4,1315,refused,25,彼は申し出を拒否した。,거부,拒绝,KEEP
拒否,4,2064,refused,25,彼女は彼の申し出を拒否した。,거절,拒绝,DISCARD
拒否,4,2070,rejected *DIFF*,25,彼は申し出を拒否した。,거부,拒绝,DISCARD
拒否,4,3368,denial *DIFF*,25,政府はその改革案の受け入れを拒否した。,부인,否认,DISCARD
背景,4,1345,background,25,この絵の背景は青いです。,배경,背景,KEEP
背景,4,1471,background,25,この絵の背景は青いです。,배경,背景,DISCARD
背景,4,1734,background,25,この写真の背景はきれいです。,배경,背景,DISCARD
背景,4,5032,background,25,この絵の背景には、美しい山々が描かれています。,배경,背景,DISCARD
著しい,4,1361,remarkably,25,彼の日本語は著しく上達しました。,현저하게,显著,KEEP
著しい,4,1858,remarkably,25,彼の日本語は著しく上達しました。,눈에 띄게,显著的,DISCARD
著しい,4,2036,remarkably,25,彼の日本語は著しく上達しました。,현저하게,显著,DISCARD
著しい,4,2742,remarkable *DIFF*,25,彼のたゆまぬ努力により、会社の業績は著しい成長を遂げた。,놀라운,非凡的,DISCARD
気障,4,1380,pretentious,25,彼はいつも気障なことを言います。,거들먹거리는,装模作样,KEEP
気障,4,1842,affected *DIFF*,25,彼は気障な話し方をする。,거들먹거리는,做作,DISCARD
気障,4,2224,affected *DIFF*,25,彼はいつも気障な話し方をする。,거들먹거리는,做作,DISCARD
気障,4,3274,affectation *DIFF*,25,彼の気障な態度は周りの人に不快感を与えた。,가식,做作,DISCARD
質素,4,1383,simple,25,彼女は質素な生活をしています。,검소한,简朴,KEEP
質素,4,1771,simple,25,彼女は質素な生活をしています。,검소,朴素,DISCARD
質素,4,2305,simple,25,彼女は質素な生活を送っています。,검소한,朴素,DISCARD
質素,4,3891,simplicity *DIFF*,25,彼女は質素な生活を送っている。,단순함,简单,DISCARD
謝る,4,1390,apologize,25,ごめんなさい、謝ります。,사과드립니다,道歉,KEEP
謝る,4,1606,apologize,25,ごめんなさいと謝る。,사과해요,道歉,DISCARD
謝る,4,1782,apologize,25,ごめんなさい、謝ります。,사과드립니다,道歉,DISCARD
謝る,4,2034,apologize,25,ごめんなさいと謝る。,사과해요,道歉,DISCARD
手際,4,1513,efficiently,25,彼女は手際よく料理を作ります。,솜씨,利索,KEEP
手際,4,1795,skillful *DIFF*,25,彼女は手際が良いです。,솜씨,熟练,DISCARD
手際,4,2223,skillfully *DIFF*,25,彼女は手際よく料理を作ります。,솜씨,熟练地,DISCARD
手際,4,4681,performance *DIFF*,25,彼女は料理の手際がとても良い。,공연,演出,DISCARD
軒並み,4,1536,all,25,台風で木が軒並み倒れました。,모두,全部,KEEP
軒並み,4,1767,across the board *DIFF*,25,台風で木が軒並み倒れました。,모조리,全面,DISCARD
軒並み,4,2310,all,25,台風で木が軒並み倒れました。,모조리,全部,DISCARD
軒並み,4,5013,row of houses *DIFF*,25,海辺の軒並みが夕日に照らされて美しかった。,주택열,一排房子,DISCARD
辛うじて,4,1537,barely,25,辛うじて間に合った。,간신히,勉强,KEEP
辛うじて,4,1882,barely,25,辛うじて電車に間に合った。,간신히,仅仅,DISCARD
辛うじて,4,2109,barely,25,辛うじて間に合った。,간신히,仅仅,DISCARD
辛うじて,4,3161,barely,25,彼は試験に辛うじて合格した。,겨우,勉强,DISCARD
覆す,4,1718,Overturn,25,彼は前の発言を覆す。,뒤집는다,推翻,KEEP
覆す,4,1784,Overturn,25,彼は前の発言を覆す。,뒤집었다,推翻,DISCARD
覆す,4,2290,Overturn,25,彼は前の発言を覆した。,뒤집었다,推翻,DISCARD
覆す,4,3440,to overturn *DIFF*,25,彼は判決を覆すために控訴した。,뒤집다,推翻,DISCARD
うんざり,4,1874,fed up,25,毎日同じものを食べるのはうんざりです。,지긋지긋,厌烦,KEEP
うんざり,4,2102,tired *DIFF*,25,毎日同じものを食べるのはうんざりです。,지긋지긋해요,厌倦了,DISCARD
うんざり,4,2327,fed up,25,毎日同じものを食べて、うんざりです。,지긋지긋,厌烦,DISCARD
うんざり,4,2853,tedious *DIFF*,25,彼の長話にはうんざりした。,지루한,繁琐,DISCARD
忠告,3,17,advice,25,先生は生徒に忠告しました。,충고했습니다,忠告了,KEEP
忠告,3,1614,advice,25,友達の忠告を聞いてください。,충고,忠告,DISCARD
忠告,3,4547,advice,25,彼の忠告はいつも的確で、非常に役立つ。,조언,建议,DISCARD
突破,3,44,broke through,25,彼は困難を突破した。,돌파했다,突破了,KEEP
突破,3,1422,broke through,25,彼は困難を突破した。,돌파,突破,DISCARD
突破,3,4790,breaking through *DIFF*,25,チームは苦戦の末、ついに予選を突破した。,돌파,突破,DISCARD
白状,3,54,confessed,25,彼は罪を白状した。,자백했다,坦白了,KEEP
白状,3,1995,confessed,25,警察に白状しました。,자백,坦白,DISCARD
白状,3,5057,confession *DIFF*,25,彼はついに自分の罪を白状した。,고백,坦白,DISCARD
侮辱,3,71,insulted,25,彼は私を侮辱した。,모욕했다,侮辱,KEEP
侮辱,3,2280,insult *DIFF*,25,彼は彼女を侮辱した。,모욕,侮辱,DISCARD
侮辱,3,5298,insult *DIFF*,25,彼の発言は私に対する侮辱だと感じた。,모욕,侮辱,DISCARD
没収,3,90,confiscated,25,先生は生徒の携帯電話を没収しました。,몰수했습니다,没收了,KEEP
没収,3,1511,confiscated,25,先生は私の漫画を没収しました。,몰수,没收,DISCARD
没収,3,5435,forfeited *DIFF*,25,違法な薬物は警察によって没収された。,몰수된,没收,DISCARD
冷淡,3,114,cold,25,彼女は彼に冷淡だった。,냉담,冷淡,KEEP
冷淡,3,2087,cold,25,彼女は彼に冷淡です。,냉담,冷淡,DISCARD
冷淡,3,5798,coolness *DIFF*,25,彼は会議中も常に冷淡な態度を崩さなかった。,냉담함,冷淡,DISCARD
素っ気ない,3,181,cold,25,彼女はいつも素っ気ない。,쌀쌀맞다,冷淡,KEEP
素っ気ない,3,2043,curt *DIFF*,25,彼女はいつも素っ気ない。,쌀쌀맞다,冷淡,DISCARD
素っ気ない,3,4351,cold,25,彼が私に素っ気ない返事をしたので、少し寂しい気持ちになった。,차가운,冷,DISCARD
とんでもない,3,195,no way,25,それはとんでもない間違いです。,터무니없는,离谱的,KEEP
とんでもない,3,1829,terrible *DIFF*,25,それはとんでもない間違いです。,말도,离谱,DISCARD
とんでもない,3,2116,null *DIFF*,25,とんでもない間違いをしてしまいました。,null,null,DISCARD
馬鹿馬鹿しい,3,204,Ridiculous,25,そんな言い訳は馬鹿馬鹿しい。,어리석다,荒谬的,KEEP
馬鹿馬鹿しい,3,1722,Ridiculous,25,そんな話は馬鹿馬鹿しい。,터무니없다,荒谬的,DISCARD
馬鹿馬鹿しい,3,5135,stupid *DIFF*,25,そんな馬鹿馬鹿しい話は信じられない。,바보 같은,愚蠢,DISCARD
相応しい,3,211,Suitable,25,彼にはこの仕事が相応しいです。,어울리다,合适的,KEEP
相応しい,3,1518,Suitable,25,彼にはその仕事が相応しいです。,적합합니다,合适的,DISCARD
相応しい,3,5254,appropriate *DIFF*,25,彼はこの重要な役割に相応しい人物だ。,적절한,适当,DISCARD
もどかしい,3,228,Frustrated,25,言葉がうまく伝えられなくて、もどかしい。,답답하다,令人沮丧,KEEP
もどかしい,3,1852,frustrated,25,言葉が足りなくて、もどかしい気持ちです。,답답한,着急,DISCARD
もどかしい,3,2320,Frustrating *DIFF*,25,言葉がうまく伝えられなくて、もどかしい。,답답하다,让人着急,DISCARD
健気,3,250,brave,25,彼女は健気に頑張っています。,"기특함,갸륵함",坚强地,KEEP
健気,3,1870,brave,25,彼女は健気に頑張っています。,씩씩하게,坚强地,DISCARD
健気,3,2325,valiantly *DIFF*,25,彼女は健気に頑張っています。,씩씩하게,坚强地,DISCARD
欺く,3,312,deceived,25,彼は嘘をついて私を欺いた。,속였다,欺骗,KEEP
欺く,3,2028,deceived,25,彼は嘘をついて私を欺いた。,속였다,欺骗,DISCARD
欺く,3,2601,to deceive *DIFF*,25,彼は友人を欺いて金を奪った。,속이다,欺骗,DISCARD
保つ,3,400,maintain,25,健康を保つために、毎日運動します。,유지하기,保持,KEEP
保つ,3,1473,maintain,25,健康を保つために、毎日運動します。,유지하기,保持,DISCARD
保つ,3,4467,to keep *DIFF*,25,良い状態を保つために、定期的なメンテナンスが必要です。,유지하다,保持,DISCARD
呟く,3,412,whispers,25,猫は静かに呟く。,속삭인다,嘟囔着,KEEP
呟く,3,2225,murmurs *DIFF*,25,彼女は一人で何かを呟く。,중얼거린다,嘟囔着,DISCARD
呟く,3,4639,to mutter *DIFF*,25,彼は何か独り言を呟いていた。,중얼거리다,嘟囔,DISCARD
貫く,3,413,sticks,25,彼は自分の信じる道を貫く。,관철한다,坚持,KEEP
貫く,3,1576,sticks to *DIFF*,25,彼は自分の信じる道を貫く。,관철한다,坚持,DISCARD
貫く,3,4652,to go through *DIFF*,25,彼は自分の信念を貫いた。,통과하다,穿过,DISCARD
賑わう,3,423,Bustling,25,お祭りで町が賑わう。,붐비다,热闹,KEEP
賑わう,3,2235,Bustling,25,お祭りで、町が賑わう。,활기차다,热闹,DISCARD
賑わう,3,4952,to prosper *DIFF*,25,このお祭りは毎年多くの人で賑わう。,번성하다,繁荣,DISCARD
滲む,3,426,bleed,25,インクが紙に滲む。,번진다,渗入,KEEP
滲む,3,2207,bleed,25,インクが紙に滲む。,번진다,渗开,DISCARD
滲む,3,4959,to run *DIFF*,25,インクが紙に滲んだ。,흐르다,流,DISCARD
弾む,3,436,bounce,25,ボールがよく弾む。,튀어,弹,KEEP
弾む,3,1752,bounce,25,ボールがよく弾む。,튕긴다,弹,DISCARD
弾む,3,5074,to spring *DIFF*,25,ボールが地面で楽しげに弾む。,뛰어오르다,弹跳,DISCARD
控える,3,439,Refrain,25,甘いものを控える。,자제하겠다,控制,KEEP
控える,3,1849,Refrain,25,甘いものを控える。,자제하겠다,控制,DISCARD
控える,3,5156,to draw in *DIFF*,25,健康のために、甘いものを控えている。,짧아지다,缩短,DISCARD
円満,3,669,harmonious,25,家族と円満な関係を築きたいです。,원만,圆满,KEEP
円満,3,1526,harmonious,25,家族と円満な関係を築きたいです。,원만,圆满,DISCARD
円満,3,2889,perfection *DIFF*,25,二人は話し合いで円満な解決を見つけた。,완벽,完美,DISCARD
完璧,3,684,perfect,25,彼の日本語は完璧です。,완벽,完美,KEEP
完璧,3,2194,perfect,25,彼女は完璧な人です。,완벽,完美,DISCARD
完璧,3,3202,perfection *DIFF*,25,彼のプレゼンテーションは内容も話し方も完璧だった。,완벽,完美,DISCARD
拒絶,3,698,rejected,25,彼らは私の提案を拒絶した。,거절,拒绝,KEEP
拒絶,3,2071,rejected,25,彼女は彼の申し出を拒絶した。,거절,拒绝,DISCARD
拒絶,3,3367,refusal *DIFF*,25,彼は私の提案をきっぱりと拒絶した。,거절,拒绝,DISCARD
軽率,3,711,Careless,25,軽率な行動は避けるべきです。,경솔,轻率,KEEP
軽率,3,2200,careless,25,軽率な行動は避けるべきです。,경솔,轻率,DISCARD
軽率,3,3480,rash *DIFF*,25,彼の軽率な発言が会議を混乱させた。,경솔한,草率,DISCARD
交付,3,724,Issue,25,市役所でパスポートが交付されました。,교부,交付,KEEP
交付,3,2201,Issue,25,市役所は私に免許証を交付しました。,교부,交付,DISCARD
交付,3,3612,delivering *DIFF*,25,運転免許証が先日交付されました。,교부,交付,DISCARD
辞退,3,743,decline,25,私はその申し出を辞退します。,사퇴,谢绝,KEEP
辞退,3,1585,decline,25,私はその申し出を辞退します。,사퇴,拒绝,DISCARD
辞退,3,4095,refusal *DIFF*,25,彼は個人的な理由でその役職を辞退した。,거절,拒绝,DISCARD
親善,3,774,friendly,25,私たちは親善試合をしました。,친선,友谊赛,KEEP
親善,3,2220,friendship *DIFF*,25,私たちは親善のためにテニスをしました。,친선,友谊,DISCARD
親善,3,4056,friendship *DIFF*,25,文化交流を通じて、二国間の親善が深まりました。,우정,友谊,DISCARD
始末,3,812,settled,25,彼は事件の始末をつけた。,시말,处理,KEEP
始末,3,1790,aftermath *DIFF*,25,彼は事件の始末をつけた。,시말,处理,DISCARD
始末,3,3920,management *DIFF*,25,彼は会社の財政の始末に苦慮していた。,관리,管理,DISCARD
見方,3,839,viewpoint,25,私と彼女は見方が違います。,견해,看法,KEEP
見方,3,2422,viewpoint,25,私と彼女は見方が違います。,관점,看法,DISCARD
見方,3,5514,viewpoint,25,その問題に対する彼の見方は他の人とは異なっていた。,관점,观点,DISCARD
強制,3,855,force,25,先生は生徒に宿題を強制しません。,강요,强制,KEEP
強制,3,1560,force,25,学校は生徒にクラブ活動を強制しません。,강요,强迫,DISCARD
強制,3,3353,obligation *DIFF*,25,彼は会議への参加を強制された。,의무,义务,DISCARD
誘惑,3,899,temptation,25,甘いものの誘惑に負けた。,유혹,诱惑,KEEP
誘惑,3,1603,temptation,25,甘い誘惑に負けないで。,유혹,诱惑,DISCARD
誘惑,3,5702,temptation,25,彼女はお金の誘惑に負けてしまった。,유혹,诱惑,DISCARD
抑制,3,900,suppress,25,咳を抑制するために、薬を飲みます。,억제,抑制,KEEP
抑制,3,1604,control *DIFF*,25,政府はインフレを抑制しようとしています。,억제,抑制,DISCARD
抑制,3,5734,suppression *DIFF*,25,政府はインフレを抑制するために新たな経済政策を導入した。,억제,抑制,DISCARD
目覚ましい,3,928,remarkable,25,彼の英語の進歩は目覚ましいです。,놀랍습니다,显著,KEEP
目覚ましい,3,1723,remarkable,25,彼の進歩は目覚ましい。,놀랍습니다,显著的,DISCARD
目覚ましい,3,2246,remarkable,25,彼の進歩は目覚ましいです。,눈부십니다,显著的,DISCARD
手順,3,1044,steps,25,料理の作り方の手順を教えてください。,방법,步骤,KEEP
手順,3,1693,procedure *DIFF*,25,料理の手順を教えてください。,순서,步骤,DISCARD
手順,3,4682,process *DIFF*,25,新しいソフトウェアのインストール手順を教えてください。,과정,过程,DISCARD
本音,3,1066,True feelings,25,友達に本音を話しました。,속마음,真心话,KEEP
本音,3,1738,True feelings,25,友達に本音を話しました。,속마음,真心话,DISCARD
本音,3,5415,real intention *DIFF*,25,彼はついに本音を明かした。,진정한 의도,真实意图,DISCARD
圧迫,3,1079,tight,25,服が少し圧迫します。,압박,压迫感,KEEP
圧迫,3,1630,constricting *DIFF*,25,服が少し圧迫する。,압박,压迫,DISCARD
圧迫,3,2621,pressure *DIFF*,25,経済的な圧迫が彼の会社を苦しめている。,압력,压力,DISCARD
緊急,3,1096,emergency,25,緊急です！,긴급,紧急情况,KEEP
緊急,3,1559,emergency,25,緊急です！,긴급,紧急情况,DISCARD
緊急,3,3386,urgent *DIFF*,25,緊急の連絡が入りました。,긴급한,紧急,DISCARD
適応,3,1133,adapt,25,新しい生活に早く適応したいです。,적응,适应,KEEP
適応,3,1459,adapt,25,新しい学校に早く適応したいです。,적응,适应,DISCARD
適応,3,4678,adaptation *DIFF*,25,多くの動物は、厳しい冬の寒さに適応するために毛皮を厚くする。,적응,适应,DISCARD
卑しい,3,1160,greedy,25,彼はお金に卑しい。,욕심,卑鄙,KEEP
卑しい,3,1861,greedy,25,彼はお金に卑しい。,비굴하다,卑鄙,DISCARD
卑しい,3,2781,greedy,25,彼の卑しい欲求は際限がなかった。,탐욕스러운,贪婪,DISCARD
だらしない,3,1175,Sloppy,25,彼はだらしない格好をしています。,칠칠맞지못하다,邋遢,KEEP
だらしない,3,1850,sloppily *DIFF*,25,彼はだらしない格好をしています。,칠칠맞지못하다,邋遢,DISCARD
だらしない,3,1975,Sloppy,25,彼はだらしない格好をしています。,칠칠맞지못하다,邋遢,DISCARD
収まる,3,1221,fit,25,本が棚に収まる。,수습되다,合身,KEEP
収まる,3,2293,fit,25,本が棚に収まる。,들어간다,合身,DISCARD
収まる,3,2931,to be obtained *DIFF*,25,嵐が収まるのを待つしかない。,얻어지다,被获得,DISCARD
拘る,3,1227,particular,25,私は朝ごはんに拘ります。,신경을 많이 씁니다,讲究,KEEP
拘る,3,1502,particular,25,私は朝ご飯にパンに拘ります。,신경을 씁니다,讲究,DISCARD
拘る,3,1808,particular,25,私は細かい事に拘る。,신경을 많이 쓴다,拘泥于,DISCARD
拒む,3,1228,refuse,25,彼らはその提案を拒んだ。,거부,拒绝,KEEP
拒む,3,1777,refuse,25,彼女は彼の申し出を拒んだ。,거절했다,拒绝,DISCARD
拒む,3,2029,refuse,25,彼女は彼の申し出を拒んだ。,거절했다,拒绝,DISCARD
募る,3,1234,Recruit,25,ボランティアを募る。,모집하다,招募,KEEP
募る,3,2027,Recruit,25,ボランティアを募る。,모집하다,招募,DISCARD
募る,3,4637,to invite *DIFF*,25,イベントのためにボランティアを募っています。,초대하다,邀请,DISCARD
養う,3,1253,raise,25,私は犬を養う。,길러요,养,KEEP
養う,3,2269,raise,25,私は犬を養う。,기른다,养,DISCARD
養う,3,5660,to rear *DIFF*,25,彼は家族を養うために一生懸命働いている。,기르다,抚养,DISCARD
緩める,3,1255,loosen,25,ねじを少し緩める。,풀다,松开,KEEP
緩める,3,1531,loosen,25,ベルトを少し緩める。,풀다,放松,DISCARD
緩める,3,5710,to loosen *DIFF*,25,ネクタイを少し緩めてください。,풀다,松开,DISCARD
間柄,3,1258,relationship,25,彼らは友達の間柄です。,관계,关系,KEEP
間柄,3,1996,relationship,25,彼らは友達の間柄です。,관계,关系,DISCARD
間柄,3,2567,relation(ship) *DIFF*,25,彼らの間柄は、親友と呼べるほど親密だった。,관계,关系,DISCARD
口調,3,1272,tone,25,彼女の口調は優しいです。,말투,口气,KEEP
口調,3,1758,tone,25,彼女の口調は優しいです。,말투,语气,DISCARD
